ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.8000000000000000e+01
0.0000000000000000e+00 6.8000000000000000e+01
0.0000000000000000e+00 6.8000000000000000e+01
ITEM: ATOMS id x y z
663 0.0312636 54.3539 37.4445
664 1.71143 56.1175 39.1304
665 67.9371 54.4001 40.8684
666 1.65205 56.1508 42.5007
667 67.9732 54.4383 44.2146
668 1.66001 56.2177 45.9112
669 0.0061989 54.4199 47.5817
670 1.70678 56.1863 49.3277
671 67.9782 54.4322 50.9716
672 1.61272 56.1291 52.6971
673 0.00198026 54.3984 54.4492
674 1.6594 56.0791 56.125
675 67.9636 54.4668 57.7431
676 1.63892 56.1648 59.4665
677 67.9467 54.4676 61.1739
678 1.56922 56.1108 62.8343
679 67.8773 54.4566 64.5319
680 1.71488 56.101 66.2955
681 67.9642 57.8698 67.9695
682 1.64425 59.5428 1.73589
683 67.9698 57.8957 3.38841
684 1.64753 59.4936 5.03628
685 67.9554 57.8149 6.74689
686 1.69964 59.4777 8.45776
687 0.0116343 57.8119 10.207
688 1.72593 59.4938 11.8798
689 0.00207083 57.7656 13.5105
690 1.64843 59.4789 15.3328
691 67.957 57.8234 16.9798
692 1.7384 59.5176 18.6124
693 67.9865 57.8955 20.3295
694 1.70915 59.5457 22.0949
695 67.9823 57.8166 23.836
696 1.67445 59.4837 25.5117
697 67.9732 57.8104 27.2218
698 1.75773 59.5412 28.8894
699 67.9239 57.8307 30.5924
700 1.69842 59.5298 32.348
701 0.0901863 57.8103 34.1531
702 1.7004 59.5343 35.7706
703 0.0166906 57.8464 37.4419
704 1.62449 59.5795 39.0623
705 67.8913 57.861 40.825
706 1.5869 59.4881 42.6251
707 67.9218 57.8161 44.2098
708 1.62412 59.5428 45.8808
709 0.0108119 57.872 47.5997
710 1.68639 59.4914 49.2939
711 67.9095 57.8516 50.9365
712 1.70592 59.5179 52.7169
713 67.8878 57.825 54.5415
714 1.66635 59.5272 56.0919
715 67.971 57.7942 57.8285
716 1.70908 59.4869 59.561
717 67.954 57.8276 61.1933
718 1.62865 59.5719 62.8416
719 67.9994 57.8735 64.6006
720 1.64549 59.5274 66.2987
721 67.9528 61.2065 0.0240938
722 1.64678 62.9131 1.73893
723 67.9174 61.2039 3.3991
724 1.58613 62.981 5.07003
725 67.9408 61.2537 6.76746
726 1.60642 63.0614 8.52642
727 0.0193172 61.1817 10.1677
728 1.69323 63.0005 11.8572
729 0.0627443 61.1774 13.471
730 1.66772 62.8861 15.2853
731 67.9872 61.2474 17.0806
732 1.68825 62.8951 18.7306
733 67.9847 61.1927 20.3269
734 1.69292 62.8817 22.0572
735 67.9792 61.203 23.8453
736 1.6854 62.8978 25.5157
737 67.9481 61.1884 27.1569
738 1.68081 62.913 28.8578
739 67.969 61.1259 30.5989
740 1.65795 62.9408 32.3058
741 0.0193579 61.2252 34.1677
742 1.69426 62.8762 35.7141
743 2.71228e-05 61.2451 37.3848
744 1.63071 62.9312 39.0409
745 67.9441 61.2184 40.8525
746 1.60403 62.9412 42.587
747 67.8931 61.2326 44.2166
748 1.62393 62.9264 45.9071
749 67.9976 61.196 47.6197
750 1.66719 62.9421 49.2871
751 0.0498094 61.207 50.9324
752 1.64468 62.8154 52.7181
753 67.9723 61.1116 54.3972
754 1.6736 62.766 56.069
755 67.9948 61.109 57.8897
756 1.69581 62.825 59.5125
757 67.9961 61.0999 61.1156
758 1.63184 62.8232 62.8501
759 67.96 61.1819 64.6416
760 1.61331 62.8384 66.2651
761 67.9364 64.5789 0.0161405
762 1.70971 66.2995 1.7128
763 67.9508 64.5717 3.41636
764 1.6211 66.3673 5.0859
765 67.9881 64.7359 6.73693
766 1.67678 66.3775 8.45177
767 67.9949 64.7233 10.1465
768 1.72772 66.3624 11.845
769 67.9823 64.6493 13.58
770 1.64097 66.3281 15.2275
771 67.9992 64.6242 17.0847
